urn,name,comments,lon,lat
urn:uuid:1163e4a0-d713-4cb9-9158-e272ab728a2d,Bridge Gate,Something Sweet,53.7416712,-2.0134148
urn:uuid:060e1850-5071-42dd-a9d4-35f210d0ae32,Bridge Gate,Watergate Tearooms,53.7416157,-2.0134818
urn:uuid:a80b8c52-b0c8-4a81-a6cd-2695f37d8a32,Bridge Gate,Pennine Wine & Cheese,53.7412699,-2.0136602
urn:uuid:b0f56451-9810-4939-947e-6becbbfda7b7,Bridge Gate,Reeds Rains ,53.7413,-2.01362
urn:uuid:b76ad4a3-b372-46ee-ae99-4118fbf5b2b4,Bridge Gate,Age UK,53.7413381,-2.0135663
urn:uuid:277a8dbc-a25f-4d75-8505-233ab2312ae3,Bridge Gate,RSPCA,53.7413777,-2.0135274
urn:uuid:6a1222d6-b5f2-4e87-a9c6-cee7367bae52,Bridge Gate,Dee's Wardrobe,53.7414071,-2.0134926
urn:uuid:fc16b240-777c-4a31-89fc-507797b09592,,Aya Sophia,53.7413999,-2.013457
urn:uuid:c51afe79-910f-4f32-893c-b112a3887bf4,Bridge Gate,Calan's Micropub,53.741344,-2.013215
urn:uuid:f6875336-0dad-4092-bd51-cdc7c6ab2f27,Bridge Gate,Earth Collection,53.7413516,-2.0133658
urn:uuid:57c0a200-0497-48dd-a39c-2e017d5228e6,Bridge Gate,Bamboo,53.7415328,-2.0134027
urn:uuid:a8c896c3-66e6-46c9-8993-8656a16c832e,Bridge Gate,Rendezvous,53.7415756,-2.0133477
urn:uuid:cce029d2-bcc5-4e6d-ae1b-26362f7b8676,Bridge Gate,Fat Face,53.7416502,-2.0132512
urn:uuid:821f843e-f4db-48fd-ba77-d5818700fe16,Bridge Gate,Anthony J Turner,53.7417219,-2.0131752
urn:uuid:ee8af02b-79b6-4044-99f2-55bb463349a5,Bridge Gate,The White Swan,53.741846,-2.0130673
urn:uuid:9e746776-f8ec-445f-b8a7-d4c3517316fa,Bridge Gate,Noir,53.7419246,-2.0128983
urn:uuid:a9b61c93-2b1d-4cf8-b180-56db28adce0b,Bridge Gate,Shelter,53.7419571,-2.0128433
urn:uuid:f62d4207-b008-4b4c-bb02-8041a004fb65,Bridge Gate,Just Books,53.7419841,-2.0127977
urn:uuid:4c8353a6-c1c9-472a-bbb2-fcb83937644d,Crown Street,Nelson's Wine Bar,53.7417552,-2.0122338
urn:uuid:23d92330-a475-40e2-b263-96b8c6a1e9de,Crown Street,Stephen Maskill butcher,53.7415708,-2.012504
urn:uuid:15bacb78-8b43-40aa-8c2e-ff829f468f7f,Crown Street,One Stop Shop,53.7414836,-2.0126207
urn:uuid:bd94c2f3-b693-4ff6-80b5-aa0910e04dc7,Crown Street,Crown Inn,53.7413947,-2.0127454
urn:uuid:f4136838-0665-4a6e-8831-cef63299b8af,Crown Street,The Crown Fish and Chips,53.7412472,-2.012909
urn:uuid:96455b22-01ef-4c60-9463-0e9c015e7be3,Crown Street,Claire Sheehan,53.7411544,-2.0129788
urn:uuid:080d18f9-7e67-4967-bec6-a9a6d45dacc6,Crown Street,Hospice Shop,,
urn:uuid:56960f26-b3aa-47e1-9ecc-098b2062c05a,Crown Street,Hiu Man,53.7412881,-2.0130793
urn:uuid:35912452-e070-46f5-a9c3-e4e2dcdb84f2,Crown Street,Daisy and Sam,53.7413313,-2.0130297
urn:uuid:49664f74-6dda-4ee0-a8c8-21e5ef53d1fb,Crown Street,Boots,53.7414615,-2.0128598
urn:uuid:32c9549d-2285-444b-8c3b-5aaf25cd5cd9,Crown Street,Christine Edwards,53.74139,-2.0129566
urn:uuid:f40ad140-e4e2-42d9-901c-7f0a3b47c8cc,Crown Street,Amelia,53.7416569,-2.0125925
